STATUTORY INDEX

INTRODUCTION

This index specifies the offense guideline section(s) in Chapter Two (Offense Conduct) appli-
cable to the statute of conviction. If more than one guideline section is referenced for the particular
statute, use the guideline most appropriate for the offense conduct charged in the count of which the
defendant was convicted. For the rules governing the determination of the offense guideline section(s)
from Chapter Two, and for any exceptions to those rules, see §1B1.2 (Applicable Guidelines).

Historical  Note

Effective November 1, 1987. Amended effective November 1, 1989 (amendments 296 and 297); November 1, 1993
(amendment 496); November 1, 2000 (amendment 591); November 1, 2014 (amendment 781).
INDEX

Title Statue Guidelines 
18 2113(a) 2B1.1,2B2.1,2B3.1,2B3.2
18 2113(b) 2B1.1
18 2113(c) 2B1.1
18 2113(d) 2B3.1
18 2113(e) 2A1.1,2B3.1
18 2114(a) 2B3.1
18 2114(b) 2B1.1
18 2115 2B2.1
18 2116 2A2.2,2A2.3,2B2.1,2B3.1
18 2117 2B2.1
18 2118(a) 2B3.1
18 2118(b) 2B2.1
18 2118(c)(1) 2A2.1,2A2.2,2B3.1
18 2118(c)(2) 2A1.1
18 2118(d) 2X1.1
18 2119 2B3.1
18 2153 2M2.1
18 2154 2M2.1
18 2155 2M2.3
18 2156 2M2.3
18 2197 2B1.1
18 2199 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2B1.1,2B2.3
18 2231 2A2.2,2A2.3
18 2232 2B1.5,2J1.2
18 2233 2B1.1,2B3.1
18 2237(a)(1),(a)(2)(A) 2A2.4
18 2237(a)(2)(B) 2B1.1
18 2237(b)(2)(B)(i) 2A1.3,2A1.4
18 2237(b)(2)(B)(ii)(I) 2A2.1,2A2.2
18 2237(b)(2)(B)(ii)(II) 2A4.1
18 2237(b)(2)(B)(ii)(III) 2A3.1
18 2237(b)(3) 2A2.2
18 2237(b)(4) 2A2.1,2A2.2,2G1.1, 2G1.3,2G2.1,2H4.1, 2L1.1
18 2241 2A3.1
18 2242 2A3.1
18 2243(a) 2A3.2
18 2243(b) 2A3.3
18 2244 2A3.4
18 2245 2A1.1
18 2250(a) 2A3.5
18 2250(c) 2A3.6
18 2251(a),(b) 2G2.1
18 2251(c) 2G2.1
18 2251(d)(1)(A) 2G2.2
18 2251(d)(1)(B) 2G2.1
18 2251A 2G2.3
18 2252 2G2.2
18 2252A(a),(b) 2G2.2
18 2252A(g) 2G2.6
18 2252B 2G3.1
18 2252C 2G3.1
18 2257 2G2.5
18 2257A 2G2.5
18 2260(a) 2G2.1
18 2260(b) 2G2.2
18 2260A 2A3.6
18 2261 2A6.2
18 2261A 2A6.2
18 2262 2A6.2
18 2271 2X1.1
18 2272 2B1.1
18 2275 2B1.1,2K1.4
18 2276 2B1.1,2B2.1
18 2280 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2A4.1,2A6.1,2B1.1,2B3.1,2B3.2,2K1.4,2X1.1
18 2280a 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2A6.1,2B1.1,2B3.2,2K1.3,2K1.4,2M5.2,2M5.3,2M6.1,2Q1.1,2Q1.2,2X1.1,2X2.1,2X3.1
18 2281 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2A4.1,2B1.1,2B3.1,2B3.2,2K1.4,2X1.1
18 2281a 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2A6.1,2B1.1,2B3.2,2K1.4,2M6.1,2Q1.1,2Q1.2,2X1.1
18 2282A 2A1.1,2A1.2,2B1.1,2K1.4,2X1.1
18 2282B 2B1.1,2K1.4,2X1.1
18 2283 2K1.3,2M5.3,2M6.1
18 2284 2M5.3,2X2.1,2X3.1
18 2285 2X7.2
18 2291 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2A6.1,2B1.1,2K1.4,2M6.1
18 2292 2A6.1
18 2312 2B1.1
18 2313 2B1.1
18 2314 2B1.1,2B1.5
18 2315 2B1.1,2B1.5
18 2316 2B1.1
18 2317 2B1.1
18 2318 2B5.3
18 2319 2B5.3
18 2319A 2B5.3
